gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
48,IDLE,1768044808.7629912,1768044809.857137,-15156,4580,1400,-914,1234,-852
48,IDLE,1768044808.7629912,1768044809.857137,-15388,4528,1344,-1229,1007,-1171
48,IDLE,1768044808.7629912,1768044809.857137,-15636,4600,1520,-1050,1006,-1212
48,IDLE,1768044808.7629912,1768044809.857137,-15648,4720,1560,-376,933,-876
48,IDLE,1768044808.7629912,1768044809.857137,-15624,5020,1432,177,512,-361
48,IDLE,1768044808.7629912,1768044809.857137,-15628,5140,1320,375,655,32
49,IDLE,1768044809.857137,1768044810.9563878,-15656,5052,1312,157,246,274
49,IDLE,1768044809.857137,1768044810.9563878,-15644,4860,1216,56,264,184
49,IDLE,1768044809.857137,1768044810.9563878,-15576,4688,1200,190,362,115
49,IDLE,1768044809.857137,1768044810.9563878,-15420,4680,1232,570,537,178
49,IDLE,1768044809.857137,1768044810.9563878,-15356,4776,1248,747,627,260
49,IDLE,1768044809.857137,1768044810.9563878,-15304,4780,1180,583,678,190
49,IDLE,1768044809.857137,1768044810.9563878,-15392,4940,1376,305,683,109
49,IDLE,1768044809.857137,1768044810.9563878,-15396,4956,1236,-104,590,88
49,IDLE,1768044809.857137,1768044810.9563878,-15392,4680,1128,-80,473,101
49,IDLE,1768044809.857137,1768044810.9563878,-15328,4732,1088,189,523,181
49,IDLE,1768044809.857137,1768044810.9563878,-15448,4856,840,231,478,191
49,IDLE,1768044809.857137,1768044810.9563878,-15436,4800,888,462,427,235
49,IDLE,1768044809.857137,1768044810.9563878,-15476,4928,588,808,628,381
49,IDLE,1768044809.857137,1768044810.9563878,-15992,4784,400,2123,1187,831
49,IDLE,1768044809.857137,1768044810.9563878,-16556,5300,520,3636,1553,1854
49,IDLE,1768044809.857137,1768044810.9563878,-16864,5940,724,3769,1458,2581
49,IDLE,1768044809.857137,1768044810.9563878,-16792,6168,744,2604,759,2748
49,IDLE,1768044809.857137,1768044810.9563878,-16544,5740,616,1467,195,2684
49,IDLE,1768044809.857137,1768044810.9563878,-15976,5224,392,1859,151,2984
49,IDLE,1768044809.857137,1768044810.9563878,-15368,5188,256,3019,589,3619
49,IDLE,1768044809.857137,1768044810.9563878,-14696,5160,116,3894,1023,4240
49,IDLE,1768044809.857137,1768044810.9563878,-14052,5348,72,4019,1072,4754
49,IDLE,1768044809.857137,1768044810.9563878,-13644,5192,-4,3823,1042,5310
49,IDLE,1768044809.857137,1768044810.9563878,-13060,4576,-124,4123,1449,4765
49,IDLE,1768044809.857137,1768044810.9563878,-12880,4880,-272,3243,454,3030
49,IDLE,1768044809.857137,1768044810.9563878,-13148,5344,-480,1597,454,894
49,IDLE,1768044809.857137,1768044810.9563878,-13492,5752,-600,-546,183,-1257
49,IDLE,1768044809.857137,1768044810.9563878,-13944,5752,-784,-1263,175,-2171
49,IDLE,1768044809.857137,1768044810.9563878,-14612,6168,-936,-980,353,-2403
49,IDLE,1768044809.857137,1768044810.9563878,-15420,6656,-972,-1241,560,-2607
49,IDLE,1768044809.857137,1768044810.9563878,-15808,6948,-928,-2178,446,-2730
49,IDLE,1768044809.857137,1768044810.9563878,-15844,6860,-776,-2864,228,-2594
49,IDLE,1768044809.857137,1768044810.9563878,-15388,6512,-632,-2468,83,-1797
49,IDLE,1768044809.857137,1768044810.9563878,-14712,5960,-612,-1511,424,-556
49,IDLE,1768044809.857137,1768044810.9563878,-14256,5388,-324,-164,1024,369
49,IDLE,1768044809.857137,1768044810.9563878,-14336,5344,-92,196,1289,196
49,IDLE,1768044809.857137,1768044810.9563878,-14832,5680,116,-447,1123,-647
49,IDLE,1768044809.857137,1768044810.9563878,-15156,5988,-4,-1381,676,-1369
49,IDLE,1768044809.857137,1768044810.9563878,-14640,5836,-240,-2075,-389,-1650
49,IDLE,1768044809.857137,1768044810.9563878,-15464,6056,-16,-2253,195,-1773
49,IDLE,1768044809.857137,1768044810.9563878,-15528,5952,24,-1806,84,-1296
49,IDLE,1768044809.857137,1768044810.9563878,-15300,5592,-116,-1126,-88,-578
49,IDLE,1768044809.857137,1768044810.9563878,-14884,5264,-484,-486,17,-171
49,IDLE,1768044809.857137,1768044810.9563878,-14620,5348,-612,-888,325,-379
49,IDLE,1768044809.857137,1768044810.9563878,-14484,5356,-504,-2055,542,-968
49,IDLE,1768044809.857137,1768044810.9563878,-14520,5188,-296,-2963,655,-1577
49,IDLE,1768044809.857137,1768044810.9563878,-14612,5020,-112,-3283,807,-1759
49,IDLE,1768044809.857137,1768044810.9563878,-14780,4816,44,-3004,951,-1748
