label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
WE,1186.05,0.97,147.0,2.24,913.3,1.35,143.2,0.87,0.0,0.0,16383.8,127.51,815.8,233.91,3102.4,191.59,-358.85,176.42,225.3,230.16,6.25,123.77
WE,1186.85,6.33,150.6,1.59,913.25,0.94,142.75,0.99,0.0,0.0,16400.4,101.42,721.2,131.88,3200.2,187.57,-348.35,169.14,274.8,167.27,71.65,126.98
WE,1185.6,1.5,154.9,1.34,913.4,1.02,142.0,0.84,0.0,0.0,16399.4,103.53,706.2,261.8,3148.2,244.12,-301.15,281.91,274.5,138.41,104.1,134.45
WE,1185.7,1.14,165.65,3.04,913.45,0.67,142.8,1.25,0.0,0.0,16399.0,148.95,807.4,410.33,3230.2,295.45,-382.25,376.85,208.1,431.56,-44.0,266.84
WE,1183.5,4.91,165.7,5.27,913.45,0.92,141.9,1.18,0.0,0.0,16365.4,108.67,720.2,390.6,3247.6,262.08,-287.15,266.92,255.35,243.75,96.5,141.01
WE,1184.25,3.65,164.45,3.57,913.65,1.19,142.65,1.28,0.0,0.0,16380.2,140.21,733.0,364.24,3308.2,288.66,-344.7,305.0,193.0,181.62,33.5,164.12
WE,1185.05,1.28,160.25,4.56,914.15,1.01,143.5,0.97,0.0,0.0,16397.0,151.79,762.6,336.79,3216.0,241.56,-369.65,326.92,306.8,268.13,95.45,208.66
WE,1184.8,1.29,170.3,2.87,913.8,1.17,142.0,1.45,0.0,0.0,16348.4,106.34,703.0,344.12,3389.2,375.55,-285.65,297.37,242.2,250.92,-18.2,206.77
WE,1185.05,1.24,168.15,5.14,912.55,1.94,140.75,4.09,0.0,0.0,16360.8,522.48,1065.6,778.34,3373.2,957.97,85.0,1151.35,243.15,720.72,-126.25,929.94
WE,1185.2,1.21,157.5,5.77,912.95,1.36,134.65,5.92,0.0,0.0,16207.6,471.61,993.2,845.6,3637.2,848.99,-377.9,1081.11,569.3,1018.18,439.7,589.4
WE,1185.1,2.05,162.3,3.73,913.7,2.35,125.35,4.3,0.0,0.0,16250.4,390.2,767.0,418.05,3839.8,541.97,-344.9,511.98,70.9,583.85,-153.9,439.52
WE,1185.6,2.13,140.75,10.03,913.45,1.2,124.25,9.75,0.0,0.0,16322.2,283.29,1044.2,644.49,3507.4,688.07,-628.1,829.37,-93.6,544.84,-154.3,584.2
WE,1185.85,0.96,149.1,4.19,913.65,0.96,138.15,3.17,0.0,0.0,16370.6,275.94,1148.8,431.23,3327.4,351.57,-281.35,377.09,408.5,389.46,97.2,195.48
WE,1185.7,1.05,149.05,1.72,912.9,2.21,141.8,3.03,0.0,0.0,16273.4,127.04,1313.8,414.41,3569.2,241.1,-301.7,234.35,271.4,246.98,-127.95,354.63
WE,1185.2,1.75,152.8,6.58,913.7,1.1,132.6,4.95,0.0,0.0,15640.0,942.58,1917.4,1504.85,5330.0,1565.41,356.55,2209.03,1434.2,1226.55,-75.95,1036.4
WE,1185.75,1.95,171.15,4.25,914.15,2.92,125.3,2.92,0.0,0.0,15585.2,441.18,2238.0,562.1,5526.6,1046.42,-1175.1,1105.73,-576.05,975.05,-84.15,491.37
WE,1185.35,0.91,173.45,3.83,912.6,3.47,130.3,6.23,0.0,0.0,16077.0,391.56,1872.6,592.11,4525.6,738.7,-281.65,516.17,-199.4,614.06,-148.2,650.45
WE,1185.1,3.13,173.55,2.94,913.6,0.92,135.3,7.48,0.0,0.0,16043.6,226.93,2358.4,282.84,3963.6,156.76,-354.4,302.84,275.4,184.27,88.7,286.8
WE,1186.2,2.96,172.3,4.29,912.75,1.76,137.35,2.13,0.0,0.0,16103.2,116.66,2197.2,324.81,3852.2,272.12,-302.5,275.53,188.9,377.26,231.55,346.85
WE,1186.75,3.36,171.95,3.09,913.35,1.01,136.55,3.37,0.0,0.0,16234.2,254.31,1930.8,357.79,3697.2,445.88,-463.4,524.06,67.15,353.16,49.0,401.53
WE,1185.95,0.86,174.05,3.77,913.3,1.42,138.75,3.08,0.0,0.0,16212.4,355.06,1778.6,491.55,3674.4,498.89,-439.75,1004.26,351.4,638.1,224.1,411.29
WE,1185.4,1.62,175.05,4.54,913.85,1.65,141.6,1.96,0.0,0.0,16158.8,272.57,1229.8,622.58,4118.8,514.2,-329.8,736.69,144.95,676.32,48.75,909.69
WE,1185.55,1.4,172.25,4.36,914.55,1.2,144.75,4.94,0.0,0.0,16216.6,342.5,2042.6,755.94,3478.8,513.41,-16.25,765.46,99.1,506.15,-201.15,706.9
WE,1186.65,1.96,166.75,3.71,914.25,1.09,144.0,3.71,0.0,0.0,16239.0,212.02,2177.8,139.29,3383.0,250.5,-185.95,282.43,264.0,296.71,63.05,122.22
WE,1186.6,1.5,163.6,1.96,913.7,6.2,142.6,0.97,0.0,0.0,16219.0,110.72,2257.0,148.65,3365.8,103.18,-288.9,151.15,193.25,236.01,-12.95,185.93
WE,1186.4,1.24,158.45,3.31,914.5,0.74,140.75,3.45,0.0,0.0,16203.0,124.37,2344.8,232.84,3343.6,286.25,-296.35,314.97,360.7,436.22,94.75,147.23
WE,1188.15,4.45,164.05,3.06,915.05,1.07,135.6,1.96,0.0,0.0,16216.8,233.57,2410.6,391.27,3276.2,496.76,-365.75,459.84,13.1,579.03,-50.85,360.6
WE,1186.85,1.01,167.55,4.25,912.85,6.57,136.55,2.42,0.0,0.0,16236.2,189.78,2401.2,334.92,3068.4,379.01,-411.25,454.53,89.1,358.98,273.9,388.45
WE,1186.65,1.01,172.25,2.34,914.9,0.99,139.0,0.77,0.0,0.0,16333.4,91.89,1855.2,256.99,3012.4,372.76,-473.05,355.32,334.1,436.83,205.8,283.61
WE,1186.55,1.56,186.6,10.25,913.8,6.75,144.25,4.07,0.0,0.0,16371.8,213.79,1429.0,371.03,2911.2,398.03,-237.3,383.48,256.55,532.06,148.8,396.16
WE,1186.45,2.16,192.75,15.46,915.15,1.06,144.2,0.93,0.0,0.0,16282.2,241.82,1824.2,617.65,3026.8,451.4,-388.45,861.44,-157.55,1317.97,-242.35,824.83
WE,1184.9,1.22,44.2,43.41,914.2,1.03,141.95,3.26,0.0,0.0,16405.6,353.18,2165.6,686.93,1678.4,1141.58,-740.0,1032.12,214.2,1884.85,79.15,953.65
WE,1184.65,1.01,113.2,18.22,914.25,0.99,142.75,1.51,0.0,0.0,16441.2,224.7,1147.0,381.59,2817.8,292.63,-407.35,346.92,242.75,630.14,293.25,768.49
WE,1185.65,0.85,121.2,5.9,913.25,0.94,139.8,1.29,0.0,0.0,16510.8,249.54,1630.0,326.34,1996.0,390.14,-183.8,410.38,127.15,676.19,-4.1,389.49
WE,1185.3,1.14,103.85,46.06,914.8,6.07,137.25,9.22,0.0,0.0,16496.4,217.55,1123.8,351.91,2407.2,494.25,-364.75,563.47,174.15,967.43,-58.3,723.58
WE,1185.85,2.06,21.2,36.73,913.2,0.81,20.05,30.35,0.0,0.0,16385.2,385.32,2407.6,490.1,1817.8,343.1,-348.5,420.39,188.3,497.7,-260.25,661.96
WE,1186.4,1.2,0.0,0.0,912.95,4.13,9.75,4.29,0.0,0.0,16412.2,322.34,2346.8,454.9,2126.2,249.92,174.85,1308.47,460.65,637.02,-184.45,748.3
WE,1185.4,1.53,0.0,0.0,913.55,1.24,0.05,0.22,0.0,0.0,16242.2,308.3,3025.8,507.31,2243.8,347.98,-130.75,445.54,178.65,634.87,133.95,496.8
WE,1185.8,1.17,0.0,0.0,914.05,2.01,1.4,3.68,0.0,0.0,16258.0,133.98,3170.4,287.27,1865.2,169.26,-383.15,307.84,141.85,321.74,-53.35,329.33
WE,1186.05,0.97,0.0,0.0,913.85,1.01,0.3,0.71,0.0,0.0,16379.2,223.04,2552.0,656.59,2048.2,337.12,20.65,443.72,342.2,306.11,412.75,667.09
